Country,Area,Waterbody Type,Date,Ammonia (mg/l),Biochemical Oxygen Demand (mg/l),Dissolved Oxygen (mg/l),Orthophosphate (mg/l),pH (ph units),Temperature (cel),Nitrogen (mg/l),Nitrate (mg/l),CCME_Values,CCME_WQI
Canada,RSRW00043,River,12-01-2005,0.316632904,1.73913,9.4333,0.06075,8.0167,9.4583,6.24932,5.36406309,93.12019185421862,Good
Canada,RSLW00014,Lake,08-06-2005,0.2287488,1.1288,8.5,0.0211,7.79,12.0,0.4,3.1909816,100.0,Excellent
Canada,RSRW00007,River,12-01-2006,0.00644,1.125,11.075,0.064,8.1583,20.4,2.75727,0.3736388,93.06947965651386,Good
Canada,PL8,River,10-04-2006,0.09230671,2.13333,9.824,0.0208333,7.79,17.8667,0.4,0.907535,100.0,Excellent
Canada,RSRW00007,River,12-01-2007,0.0467544,2.025,7.975,0.0092,7.7615,10.625,0.9083,0.8641504,100.0,Excellent
Canada,PL01S0302_0251,River,10-04-2007,0.440067096,2.13333,10.2333,0.0186667,7.79,12.0,0.4,0.287755,100.0,Excellent
Canada,RSRW00010,River,12-01-2008,0.03005329,2.53333,4.7,0.0588,7.4,18.2333,1.7688,0.8854,93.14467278979862,Good
Canada,PL01S0302_0249,River,10-04-2008,0.322,2.13333,9.824,0.0186667,7.79,14.1167,0.4,0.774725,100.0,Excellent
Canada,RSLW00004,Lake,12-01-2009,0.322,3.2,11.684103383014412,0.0153333,7.76667,23.4333,0.6321,2.2135,100.0,Excellent
Canada,PL02S0502_0295,River,10-04-2009,0.185256904,2.13333,9.824,0.00825,7.79,15.025,0.4,0.1660125,100.0,Excellent
Canada,RSLW00011,Lake,12-01-2010,0.346687096,2.6,11.684103383014412,0.00933,8.32727,9.93333,0.7504,0.8854,100.0,Excellent
Canada,RSLW00023,Lake,12-01-2011,0.124116317,1.6475,11.684103383014412,0.0185,7.61944,14.4167,0.4,5.14023397,100.0,Excellent
Canada,RSLW00004,Lake,12-01-2012,0.164864,1.794,9.975,0.0272727,8.3375,14.7583,0.4,3.923933428,100.0,Excellent
Canada,AL013,River,12-02-2015,0.035,113.5,9.824,0.019,8.006666667,15.16666667,0.4,0.531666667,64.75916475071,Marginal
Canada,ALGW_804,River,08-05-2015,0.01,2.13333,9.415,0.061,7.31,12.0,0.4,0.031,93.11672543579722,Good
Canada,ALLK_101,Lake,12-02-2016,0.009,5.0,9.824,0.018725,8.2225,19.175,0.4,0.28925,100.0,Excellent
Canada,ALGW_101,River,08-05-2016,0.01,2.13333,10.025,0.061,7.36,12.0,0.4,0.031,93.11672543579722,Good
Canada,AL011,River,12-02-2017,0.016,4.0,9.824,0.029,8.34,11.0,0.4,0.227,100.0,Excellent
Canada,ALGW_101,River,08-05-2017,0.035,2.13333,9.54,0.061,7.495,12.0,0.4,0.031,93.11672543579722,Good
Canada,ES010ESBTMS029SUB,River,09-05-2017,0.05,2.0,7.7,0.05,7.79,18.9,0.4,10.01,100.0,Excellent
Canada,AL011,River,12-01-2018,0.0245,3.5,9.824,0.0179,7.59,14.95,0.4,0.6485,100.0,Excellent
Canada,BERW_00360,River,13-01-2018,1.714,1.7,6.96,0.22,7.69,14.65,0.4,19.419,76.73130303085415,Fair
Canada,CZPOH_1007,River,14-01-2018,0.08162,1.725,10.81667,0.0234,8.3,10.26667,0.4,9.00116,100.0,Excellent
Canada,CZPVL_4004,River,15-01-2018,0.22232,5.85,10.475,0.061,7.78333,10.98333,0.4,19.19756,93.11672543579722,Good
Canada,CZPOH_15387,River,16-01-2018,0.22554,3.6,10.39,0.04497,7.96,12.15,0.4,6.64463,100.0,Excellent
Canada,CZPMO_SPTVI018,River,17-01-2018,0.1,4.26667,11.08333,0.061,7.775,8.05833,0.4,5.83682,93.11672543579722,Good
Canada,CZPMO_SPPBF040,River,18-01-2018,0.10976,1.8,11.33333,0.061,7.9,9.14167,0.4,18.11299,93.11672543579722,Good
Canada,CZPVL_3912,River,19-01-2018,0.35012,2.375,9.60909,0.061,7.15833,10.53333,0.4,10.14475,93.11672543579722,Good
Canada,CZPOH_15386,River,20-01-2018,0.49326,4.77273,10.27273,0.22294,7.71818,10.28182,0.4,17.99293,85.39935841257525,Good
Canada,CZPVL_2066,River,21-01-2018,0.2105,2.95,10.675,0.42751,8.05,9.0,0.4,28.88487,76.6872390083555,Fair
Canada,CZPOD_1163,River,22-01-2018,0.28139,3.66667,10.35833,0.11279,7.76083,11.9,0.4,11.31047,91.26976155138571,Good
Canada,CZPMO_SPPBC048,River,23-01-2018,0.07099,1.55,11.60833,0.061,7.65,8.11667,0.4,22.07498,93.11672543579722,Good
Canada,CZPMO_YPPRU007,River,24-01-2018,0.1,5.89167,8.525,0.061,8.1,11.96667,0.4,5.83682,93.11672543579722,Good
Canada,CZPMO_SPPBI039,River,25-01-2018,0.05628,2.36667,11.41667,0.06235,8.11667,9.23333,0.4,20.18621,93.09674374249744,Good
Canada,CZPOH_1143,River,26-01-2018,0.06057,1.55,8.94,0.02361,7.15,6.41,0.4,2.65608,100.0,Excellent
Canada,CZPOD_5304,River,27-01-2018,0.14821,2.71667,10.0,0.0587,7.70333,12.21667,0.4,6.98328,93.14580454909182,Good
Canada,CZPOH_15409,River,28-01-2018,0.1,1.15833,10.225,0.061,7.75833,10.175,0.4,5.83682,93.11672543579722,Good
Canada,CZPOH_305-026,River,29-01-2018,1.18999,2.13333,12.05,0.061,8.26667,7.13333,0.4,25.0852,84.7903372632423,Good
Canada,CZPMO_ZPPDR025,River,30-01-2018,0.1,3.67,9.73,0.061,8.03,11.5,0.4,5.83682,93.11672543579722,Good
Canada,CZPMO_1134,River,31-01-2018,0.1,2.375,10.55833,0.061,7.575,11.88333,0.4,5.83682,93.11672543579722,Good
Canada,CZPMO_505-017,River,01-02-2018,0.51133,1.85833,9.13333,0.11901,8.00833,9.45,0.4,5.23838,85.10984714843688,Good
Canada,CZPLA_140,River,02-02-2018,0.43712,3.08333,9.89167,0.061,7.79167,11.61667,0.4,5.83682,93.11672543579722,Good
Canada,CZPMO_DPPZE011,River,03-02-2018,0.06852,1.0375,11.0,0.10939,8.025,10.63333,0.4,17.3383,91.43603652540855,Good
Canada,CZPOD_5210,River,04-02-2018,0.1,1.975,11.30833,0.061,7.57167,8.99167,0.4,5.83682,93.11672543579722,Good
Canada,CZPVL_2519,River,05-02-2018,0.11716,2.40909,10.75455,0.061,7.57273,8.68182,0.4,19.63889,93.11672543579722,Good
Canada,CZPVL_1080,River,06-02-2018,0.09183,1.51667,9.58333,0.061,7.28333,12.725,0.4,12.43193,93.11672543579722,Good
Canada,CZPOH_15385,River,07-02-2018,0.09451,2.41667,10.34167,0.03234,8.275,12.10833,0.4,8.66915,100.0,Excellent
Canada,CZPOH_1038,River,08-02-2018,0.36946,2.87778,9.81111,0.63524,7.84444,11.42222,0.4,21.64213,70.69037748427046,Fair
Canada,CZPOH_1038,River,09-02-2018,0.22984,2.58333,9.98333,0.07273,7.69167,11.9,0.4,18.70323,92.8767812676492,Good
Canada,CZPMO_YPPZB031,River,10-02-2018,0.21769,1.4,9.69091,0.02268,7.41818,9.56364,0.4,9.43713,100.0,Excellent
Canada,CZPOD_5507,River,11-02-2018,0.5327,1.29167,11.175,0.061,7.40583,8.53333,0.4,13.57552,86.32538629624793,Good
Canada,CZPVL_4600,River,12-02-2018,2.89088,1.70769,8.30769,0.2451,7.46429,10.26923,0.4,51.75951,68.1247828659296,Fair
Canada,CZPOH_1023,River,13-02-2018,0.07991,2.12,9.824,0.02198,7.79,12.0,0.4,4.77209,100.0,Excellent
Canada,CZPLA_418,River,14-02-2018,0.01826,1.75,10.78333,0.061,7.7,11.86667,0.4,5.1646,93.11672543579722,Good
Canada,CZPOH_1012,River,15-02-2018,3.27785,7.45,9.824,0.05109,7.79,12.0,0.4,16.37916,72.2115047125549,Fair
Canada,CZPMO_401,River,16-02-2018,0.1,2.79167,10.14167,0.061,8.05,13.94167,0.4,5.83682,93.11672543579722,Good
Canada,CZPMO_1167,River,17-02-2018,0.03018,3.61667,10.41667,0.00978,7.55,11.69167,0.4,7.69894,100.0,Excellent
Canada,CZPMO_515-033,River,18-02-2018,0.06412,2.675,10.0125,0.08757,7.75,8.125,0.4,10.19824,92.39248558962332,Good
Canada,CZPOH_1509,River,19-02-2018,0.09881,2.13333,9.95,0.061,7.44545,7.63333,0.4,9.41433,93.11672543579722,Good
Canada,CZPVL_2903,River,20-02-2018,0.09373,1.8,11.21818,0.061,7.64545,8.26364,0.4,6.31825,93.11672543579722,Good
Canada,CZPLA_180,River,21-02-2018,0.02792,2.13333,10.80833,0.061,7.45833,10.11667,0.4,15.08801,93.11672543579722,Good
Canada,CZPVL_1091,River,22-02-2018,0.38557,2.18333,9.75833,0.061,7.59167,10.51667,0.4,14.97734,93.11672543579722,Good
Canada,CZPOH_1396,River,23-02-2018,0.06014,0.96667,10.61111,0.00978,7.73333,10.2,0.4,2.87742,100.0,Excellent
Canada,CZPMO_1181,River,24-02-2018,0.1,3.95,8.8,0.061,8.1,13.60833,0.4,5.83682,93.11672543579722,Good
Canada,CZPMO_DPTNR002,River,25-02-2018,0.11578,1.69583,10.28333,0.00978,7.325,8.75,0.4,11.91547,100.0,Excellent
Canada,CZPVL_3726,River,26-02-2018,1.0697,7.925,9.28333,0.061,7.25,11.83333,0.4,9.88652,78.39032181480741,Fair
Canada,CZPOD_5024,River,27-02-2018,0.93868,3.69167,9.33333,0.34625,7.41083,10.83333,0.4,20.67316,75.06990530459464,Fair
Canada,CZPVL_2631,River,28-02-2018,0.07196,2.05833,10.64167,0.061,7.28333,9.36667,0.4,2.81102,93.11672543579722,Good
Canada,CZPMO_JPPBG024,River,01-03-2018,0.1611,0.9,15.85,0.35875,8.35,1.9,0.4,39.39852,75.89892606528738,Fair
Canada,CZPMO_JPPCH026,River,02-03-2018,0.12607,1.93636,11.06364,0.15773,8.15455,10.01818,0.4,20.3995,88.8851889489405,Good
Canada,CZPMO_XPPTE028,River,03-03-2018,0.20481,1.1,10.73333,0.04933,7.83333,9.79167,0.4,36.37354,100.0,Excellent
Canada,CZPMO_1171,River,04-03-2018,0.25422,2.51667,11.35833,0.13358,8.16667,12.35,0.4,8.77982,90.1952291931435,Good
Canada,CZPOH_305-040,River,05-03-2018,0.05477,2.46667,10.33333,0.0799,8.16667,10.90833,0.4,9.88652,92.6644625454544,Good
Canada,CZPLA_9,River,06-03-2018,0.08538,3.14167,10.21667,0.061,8.00833,11.01667,0.4,16.56361,93.11672543579722,Good
Canada,CZPVL_1044,River,07-03-2018,0.03866,2.08333,10.53333,0.01563,7.825,10.89167,0.4,11.28834,100.0,Excellent
Canada,CZPVL_3380,River,08-03-2018,0.05263,3.34167,10.11818,0.061,7.66667,11.5,0.4,2.20602,93.11672543579722,Good
Canada,CZPVL_5047,River,09-03-2018,0.1,10.45,10.19167,0.061,8.0,10.50833,0.4,5.83682,85.73304995966758,Good
Canada,CZPOD_5008,River,10-03-2018,0.05155,3.20833,8.99167,0.025,7.41167,8.2,0.4,3.58202,100.0,Excellent
Canada,CZPOD_3625,River,11-03-2018,0.29105,2.70833,10.75,0.17095,7.82417,11.875,0.4,23.08576,88.16271878229358,Good
Canada,CZPLA_46,River,12-03-2018,0.13103,4.45833,10.95,0.061,8.1,13.34167,0.4,17.67031,93.11672543579722,Good
Canada,CZPMO_XPPLG048,River,13-03-2018,0.04371,2.50833,9.43333,0.01818,7.75,10.11667,0.4,15.56758,100.0,Excellent
Canada,CZPVL_2803,River,14-03-2018,0.05907,1.80833,10.9,0.0883,7.63333,9.125,0.4,5.76222,92.36449281437376,Good
Canada,CZPVL_3407,River,15-03-2018,0.12351,3.01667,10.63333,0.061,7.11667,8.91667,0.4,6.86154,93.11672543579722,Good
Canada,CZPLA_372,River,16-03-2018,0.03866,2.03333,10.61667,0.061,8.01667,9.83333,0.4,11.58346,93.11672543579722,Good
Canada,CZPLA_503,River,17-03-2018,0.24165,2.13333,11.30833,0.061,8.24167,12.21667,0.4,17.89165,93.11672543579722,Good
Canada,CZPVL_5023,River,18-03-2018,0.03866,2.33333,10.98333,0.03452,7.93333,9.75,0.4,36.29976,100.0,Excellent
Canada,CZPOH_1772,River,19-03-2018,0.12888,2.11667,10.43333,0.05088,7.38333,9.74167,0.4,4.90972,93.1951368633931,Good
Canada,CZPVL_2031,River,20-03-2018,0.04962,0.75,10.44,0.061,7.19,9.35,0.4,20.07996,93.11672543579722,Good
Canada,CZPOD_5009,River,21-03-2018,0.07625,2.125,11.55833,0.09132,7.98417,11.19167,0.4,5.37118,92.24519021263744,Good
Canada,CZPOH_1269,River,22-03-2018,0.07733,1.21111,11.07778,0.06037,7.62222,8.48889,0.4,8.50929,93.125319300705,Good
Canada,CZPVL_9453,River,23-03-2018,0.51659,4.24167,9.16667,0.061,7.51667,9.16667,0.4,19.72139,86.3391344260165,Good
Canada,CZPMO_1168,River,24-03-2018,0.33262,2.66667,14.44167,0.21009,8.23333,14.69167,0.4,17.19074,81.6866655955412,Good
Canada,CZPVL_1070,River,25-03-2018,0.06444,1.7,13.0,0.061,7.4,1.1,0.4,19.9206,93.11672543579722,Good
Canada,CZPLA_134,River,26-03-2018,0.05692,2.44167,9.81667,0.061,7.60833,11.05833,0.4,10.36609,93.11672543579722,Good
Canada,CZPVL_9460,River,27-03-2018,0.15573,4.0,10.725,0.08072,7.99167,11.96667,0.4,14.28381,92.63745044230242,Good
Canada,CZPMO_VPPVL004,River,28-03-2018,0.54538,2.675,10.54167,0.10985,8.11667,10.59167,0.4,5.21994,85.28588614377163,Good
Canada,CZPVL_5001,River,29-03-2018,0.03866,1.575,11.45833,0.07066,7.78333,9.41667,0.4,14.97734,92.92945008152022,Good
Canada,CZPVL_1072,River,30-03-2018,0.10203,1.41667,9.71818,0.061,7.45833,11.42727,0.4,11.00798,93.11672543579722,Good
Canada,CZPLA_376,River,31-03-2018,0.06659,1.68333,11.48333,0.061,7.26667,6.58333,0.4,2.72986,93.11672543579722,Good
Canada,CZPOD_5581,River,01-04-2018,0.10042,1.84167,10.55,0.00978,7.35417,10.18333,0.4,16.67428,100.0,Excellent
Canada,CZPOH_1158,River,02-04-2018,0.25916,1.04167,11.01667,0.061,7.80833,7.91667,0.4,12.46882,93.11672543579722,Good
Canada,CZPLA_291,River,03-04-2018,0.2932,2.54167,10.74167,0.061,7.68333,9.85,0.4,5.83682,93.11672543579722,Good
Canada,CZPMO_JPPSP001,River,04-04-2018,0.07464,1.45833,11.04167,0.05104,7.74167,10.03333,0.4,9.77585,93.19492885581516,Good
Canada,CZPVL_1041,River,05-04-2018,0.12029,2.15,10.65,0.061,7.60833,9.05833,0.4,5.75115,93.11672543579722,Good
Canada,CZPLA_569,River,06-04-2018,0.09236,3.43333,9.35,0.061,7.95,13.45,0.4,8.8536,93.11672543579722,Good
Canada,CZPLA_754,River,07-04-2018,0.45108,2.13333,9.6,0.061,7.79,9.64,0.4,30.36785,93.11672543579722,Good
Canada,CZPMO_ZPPOV009,River,08-04-2018,0.04092,1.10417,9.49167,0.00978,8.01667,9.25833,0.4,16.2316,100.0,Excellent
Canada,CZPLA_227,River,09-04-2018,0.02041,1.875,10.275,0.061,7.75,10.79167,0.4,3.72589,93.11672543579722,Good
Canada,CZPVL_2029,River,10-04-2018,0.08001,1.25,10.53333,0.061,7.61667,10.01667,0.4,9.80167,93.11672543579722,Good
Canada,CZPMO_SPPSI027,River,11-04-2018,0.17775,1.375,10.43333,0.05449,7.93333,9.33333,0.4,24.03384,93.18216103548858,Good
Canada,CZPMO_SPPPU042,River,12-04-2018,0.1,1.02,12.78,0.061,7.56,5.2,0.4,5.83682,93.11672543579722,Good
Canada,CZPLA_334,River,13-04-2018,0.11341,3.825,10.38,0.061,7.56,8.74,0.4,14.34283,93.11672543579722,Good
Canada,CZPLA_334,River,14-04-2018,9.5006,2.13333,12.0,0.061,7.9375,6.9875,0.4,19.1828,62.62344719509994,Marginal
Canada,CZPOH_1179,River,15-04-2018,0.05651,1.16923,11.09231,0.0223,7.79,9.4,0.4,4.81159,100.0,Excellent
Canada,CZPLA_172,River,16-04-2018,0.11707,5.20833,10.35,0.061,8.225,12.48333,0.4,10.51365,93.11672543579722,Good
Canada,CZPVL_9451,River,17-04-2018,0.47793,5.725,8.925,0.061,7.45833,10.76667,0.4,11.57977,93.11672543579722,Good
Canada,CZPMO_ZPPDE008,River,18-04-2018,0.13404,1.60833,10.75833,0.061,8.13333,10.13333,0.4,5.30847,93.11672543579722,Good
Canada,CZPOD_5516,River,19-04-2018,0.50585,1.89167,10.8,0.07854,7.63917,9.1,0.4,8.03464,86.13131615748532,Good
Canada,CZPLA_752,River,20-04-2018,0.1,4.1,11.63333,0.061,8.2,6.6,0.4,5.83682,93.11672543579722,Good
Canada,CZPLA_163,River,21-04-2018,0.05928,1.5,11.48,0.061,7.54,8.7,0.4,3.09876,93.11672543579722,Good
Canada,CZPLA_167,River,22-04-2018,0.25669,1.8,11.30833,0.061,8.13333,9.86667,0.4,20.36328,93.11672543579722,Good
Canada,CZPLA_160,River,23-04-2018,0.1611,2.175,11.20833,0.061,7.85,9.24167,0.4,5.83682,93.11672543579722,Good
Canada,CZPVL_5021,River,24-04-2018,0.14982,3.36667,10.575,0.0708,7.60833,9.35833,0.4,18.40811,92.92601832965872,Good
Canada,CZPLA_391,River,25-04-2018,0.10096,2.36667,11.46,0.061,7.9,9.36667,0.4,8.70604,93.11672543579722,Good
Canada,CZPVL_1060,River,26-04-2018,0.1,4.43333,10.875,0.061,7.98333,10.3,0.4,10.14475,93.11672543579722,Good
Canada,CZPLA_137,River,27-04-2018,0.1,4.46,9.824,0.061,7.79,12.0,0.4,13.10333,93.11672543579722,Good
Canada,CZPLA_137,River,28-04-2018,0.26206,4.26667,9.425,0.061,7.93333,11.75,0.4,11.69413,93.11672543579722,Good
Canada,CZPVL_9202,River,29-04-2018,0.12834,2.20833,10.475,0.07936,7.43333,9.025,0.4,23.6096,92.68196139445962,Good
Canada,CZPOD_5215,River,30-04-2018,0.12566,2.925,10.76667,0.09186,7.52083,8.03333,0.4,7.30791,92.22328838484826,Good
Canada,CZPLA_381,River,01-05-2018,0.08807,1.76667,10.46667,0.061,8.03333,9.73333,0.4,5.83682,93.11672543579722,Good
Canada,CZPLA_531,River,02-05-2018,0.11384,3.15,9.93333,0.061,8.16667,12.93333,0.4,31.06138,93.11672543579722,Good
Canada,CZPOH_1037,River,03-05-2018,0.13747,1.33333,10.37778,0.05091,7.79,10.18889,0.4,14.16576,93.1951004900468,Good
Canada,CZPOH_1190,River,04-05-2018,0.04569,0.88182,11.32727,0.01219,7.43636,7.67273,0.4,3.4851,100.0,Excellent
Canada,CZPOH_1018,River,27-04-2018,0.23413,1.56667,9.26,0.01815,7.78,10.48,0.4,9.44384,100.0,Excellent
Canada,CZPOH_1099,River,28-04-2018,0.1,1.11667,10.4,0.061,7.55556,8.92222,0.4,5.83682,93.11672543579722,Good
Canada,CZPLA_756,River,29-04-2018,0.1,4.18,9.824,0.061,7.54,5.72,0.4,5.83682,93.11672543579722,Good
Canada,CZPLA_172,River,30-04-2018,0.1,10.32,9.824,0.061,7.79,12.0,0.4,12.74918,85.75966698170024,Good
Canada,CZPLA_85,River,01-05-2018,0.02148,1.11667,11.26667,0.061,6.73333,7.68333,0.4,1.03292,93.11672543579722,Good
Canada,CZPLA_105,River,02-05-2018,0.13146,2.86,10.48,0.061,8.1,12.56,0.4,5.4007,93.11672543579722,Good
Canada,CZPVL_9544,River,03-05-2018,0.06551,1.58333,11.684103383014412,0.061,7.16667,15.9,0.4,1.39444,93.11672543579722,Good
Canada,CZPOH_203101,Lake,04-05-2018,0.1,0.76667,9.4,0.061,7.66667,15.26667,0.4,5.83682,93.11672543579722,Good
Canada,CZPOH_101201,Lake,05-05-2018,0.08837,1.61429,9.1,0.00978,8.3875,16.7125,0.4,2.18178,100.0,Excellent
Canada,CZPOD_5583,River,06-05-2018,0.05155,1.37778,10.74444,0.01631,7.73333,10.72222,0.4,4.09725,100.0,Excellent
Canada,CZPOH_109101,Lake,07-05-2018,0.1,1.78571,9.47143,0.061,7.61429,15.52857,0.4,5.83682,93.11672543579722,Good
Canada,ALGW_403,River,08-05-2018,0.015,2.13333,8.845,0.061,7.45,12.0,0.4,0.031,93.11672543579722,Good
Canada,ES020ESPF004300000,River,12-01-1990,0.25116,2.08333,10.1333,0.00652,7.79,11.3333,2.69635,3.156451,100.0,Excellent
Canada,ES020ESPF004300035,River,12-01-1991,0.4947852,2.33333,8.14167,0.21679,7.79,10.8333,0.4,1.75641225,85.71641920173691,Good
Canada,ES050ESPF10105,River,12-01-1992,0.5450172,3.66667,8.65833,0.03912,7.37222,12.7083,3.64844,2.406676572,93.18209105662272,Good
Canada,ES020ESPF004300020,River,12-01-1993,0.3692052,1.41667,9.43333,0.0489,7.79545,12.775,3.35564,4.4292135,100.0,Excellent
Canada,ES030ESPFTACC5980BA,River,12-01-1994,0.0267904,3.83333,8.28333,0.04401,7.69167,12.8364,0.599355,3.501757,100.0,Excellent
Canada,ES030ESPFTA60602001,River,12-01-1995,7.7156352,5.325,7.60833,0.209455,7.94167,14.0333,0.292511,1.452224226,63.056171606600905,Marginal
Canada,ES080ESPF08005,River,12-01-1996,0.1188824,0.7,11.684103383014412,0.00652,8.03333,13.8917,2.9036,9.69561697,100.0,Excellent
Canada,ESCHC2090,River,12-01-1997,0.10640812,1.12273,9.13909,0.06031,8.02917,13.1846,3.08474,3.156451,93.12611323443068,Good
Canada,ES020ESPF004300002,River,12-01-1998,0.0259532,1.39524,10.3608,0.02934,7.97083,13.2857,3.29513,17.96631545,100.0,Excellent
Canada,ESCHC2090,River,12-01-1999,0.0301392,0.0,9.79167,0.0263764,8.01667,13.0818,0.600055,4.73932485,100.0,Excellent
Canada,ES030ESPFTATO6021BA,River,12-01-2000,0.051230458,3.91667,11.2583,0.0183026,8.00417,11.525,2.36702,2.744235322,100.0,Excellent
Canada,ES030ESPFTATO6021BA,River,12-01-2001,0.187521208,0.0,10.3083,0.0481591,7.539,13.4417,0.391,4.066854696,100.0,Excellent
Canada,ES030ESPFTATO6021BA,River,12-01-2002,0.1128288,2.53333,11.03,0.041239,7.38,13.75,1.66551,4.0219295,100.0,Excellent
Canada,UK0CYMW32350,Lake,12-01-2003,0.04872504,0.0,9.94167,0.0253302,7.81,11.6167,0.9075,6.33061,100.0,Excellent
Canada,UK0CYMW32350,Lake,12-01-2004,0.03365544,1.09167,10.65,0.0281175,7.451,11.5583,1.39737,0.916389,100.0,Excellent
Canada,ES030ESPFTATO6021BA,River,12-01-2005,0.23726248,0.0,10.3792,0.251835,7.55,9.01667,0.162133,11.08321585,83.95272038807829,Good
Canada,UK0CYMW32350,Lake,12-01-2006,0.0,0.0,9.7,0.06846,8.05,11.8917,0.98,2.26551725,92.98081699855976,Good
Canada,UK0CYMW32350,Lake,12-01-2007,0.007728,0.7238,9.1,0.0456,8.34143,12.0,1.08,3.7164665,100.0,Excellent
Canada,ES100ESPF050009000,River,12-01-2008,0.0100464,3.0,9.75,0.1794,7.92,13.0,1.4192,15.2284373,87.70305321838582,Good
Canada,ES100ESPF050009000,River,12-01-2009,0.1061312,3.0,10.14,0.2183,7.95083,12.25,4.9039,12.2402123,85.6382873730506,Good
Canada,ES020ESPF004300141,River,12-01-2010,0.0984032,4.0,0.216667,0.2107,8.24583,12.2857,4.6158,12.3021903,86.03336537565362,Good
Canada,ES100ESPF050009000,River,12-01-2011,0.0622104,5.0,10.1833,0.1223,8.305,11.8,1.9375,13.0007709,90.78850204565444,Good
Canada,ES020ESPF004300141,River,12-01-2012,1.40017192,2.0,8.9625,0.14016,8.16667,10.0,0.025,16.05092963,80.94769952169528,Good
Canada,ES040ESPF000400091,Lake,13-01-2012,0.05,2.44,9.55,0.05,7.79,15.69,0.4,1.0,100.0,Excellent
Canada,ALLK_101,Lake,12-01-2019,0.229066667,5.0,9.824,0.007033333,8.046666667,24.0,0.4,0.196266667,100.0,Excellent
Canada,BERW_04110,River,13-01-2019,0.258,0.9,10.62,0.226,7.98,11.02,0.4,25.798,85.24276084076568,Good
Canada,ES030ESPFTA62210003,River,14-01-2019,0.1,2.0,6.7,0.1,7.79,14.375,0.4,5.0,91.87448244207818,Good
Canada,ES030ESPFTA67812004,Lake,15-01-2019,0.32,2.0,11.684103383014412,0.15,7.79,20.57125,0.4,0.618,89.30746921663365,Good
Canada,ES030ESPFTA70412001,River,16-01-2019,0.414,17.3,6.052,0.508,7.79,17.776,0.4,5.0,69.16467437114667,Fair
Canada,ES063ESPFAA0000692,Lake,17-01-2019,0.06675,2.474166667,8.590909091,0.189916667,7.79,15.975,0.4,1.0,87.13534470252144,Good
Canada,ES064ESPFAA0000731,River,18-01-2019,0.2764,2.0,9.04,4.058,7.79,13.88,0.4,36.96,49.32220626697352,Marginal
Canada,ES030ESPFTA60109006,River,19-01-2019,0.884,4.55,8.62,0.202,7.79,14.666,0.4,5.0,80.54145061727033,Good
Canada,ES030ESPFTA62309006,River,20-01-2019,6.73,3.25,6.438,0.061,7.79,12.0,0.4,5.83682,67.36359770100137,Fair
Canada,ES030ESPFTA59810009,River,21-01-2019,0.1,2.0,11.684103383014412,0.061,7.79,19.7,0.4,5.0,93.11672543579722,Good
Canada,ES030ESPFTA60109001,River,22-01-2019,0.1,10.5375,5.557209091,0.15,7.79,19.60166667,0.4,0.45,82.63628347525915,Good
Canada,ES063ESPF266879-4058784,River,23-01-2019,0.10675,2.0,5.796363636,0.097416667,7.79,16.70833333,0.4,1.108333333,91.98873985796382,Good
Canada,ES030ESPFTA60109004,River,24-01-2019,0.1,2.685714286,8.757142857,0.19,7.79,15.37142857,0.4,5.0,87.13086988042986,Good
Canada,ES030ESPFTA68013004,River,25-01-2019,0.1,2.0,7.959090909,0.1,7.79,14.92727273,0.4,5.0,91.87448244207818,Good
Canada,ES100ESPF200044000,River,26-01-2019,20.0,2.13333,9.824,0.061,7.79,9.0,0.4,32.4,53.74292850625202,Marginal
Canada,ES100ESPF200044000,River,27-01-2019,20.0,2.13333,9.824,20.0,7.79,12.0,0.4,14.3,42.178660930386464,Poor
Canada,ES080ESPFES080-JU192,River,28-01-2019,0.05,2.0,9.55,0.061,7.79,13.8,0.4,4.0,93.11672543579722,Good
Canada,ES100ESPF100032000,River,29-01-2019,20.0,2.13333,9.824,20.0,7.79,12.0,0.4,47.57272727,40.21016560553044,Poor
Canada,ES100ESPF200044000,River,30-01-2019,20.0,2.0,9.386666667,20.0,7.79,14.09333333,0.4,5.0,42.178660930386464,Poor
Canada,ES100ESPF100038000,River,31-01-2019,20.0,2.13333,9.824,20.0,7.79,12.0,0.4,43.0125,42.178660930386464,Poor
Canada,ES100ESBT08275-0009,River,01-02-2019,20.0,2.13333,9.824,0.061,7.79,8.6,0.4,45.3,51.3033124179544,Marginal
Canada,ES030ESPFTA60307005,River,02-02-2019,0.32,2.13333,9.536666667,2.393333333,7.79,9.266666667,0.4,10.44666667,53.532057537094,Marginal
Canada,ES080ESPFES080-JU053,River,03-02-2019,0.13,2.13333,9.45,0.395222222,7.79,14.45,0.4,12.95,77.84227104270683,Fair
Canada,ES030ESPFTA53603002,River,04-02-2019,0.1,2.0,8.275,0.1,7.79,11.05,0.4,21.75,91.87448244207818,Good
Canada,ES030ESPFTA60307003,River,05-02-2019,0.05,2.0,8.325,0.2625,7.79,14.25,0.4,1.725,83.43738307817775,Good
Canada,ES030ESPFTA56201003,River,06-02-2019,0.1,2.0,8.868333079,0.15,7.79,20.09500668,0.4,5.0,89.30746921663365,Good
Canada,ES100ESPF110025000,River,07-02-2019,20.0,2.13333,9.824,20.0,7.79,12.0,0.4,49.18181818,40.21005065275165,Poor
